alert_id,rise_days,flux_g,flux_r,color_g_minus_r,class,class_probability,gw_overlap
SIM00047,10.285863,0.62833060,0.54562820,-0.153229,SN II,0.5800,0.586437
SIM00048,12.412051,0.79829282,1.06732703,0.315338,SN Ia,0.9100,0.353784
SIM00049,21.159083,4.74198961,4.71562314,-0.006054,SN Ia,0.9100,0.917721
SIM00050,23.072553,3.28043746,2.33925833,-0.367134,SN II,0.5800,0.440125
SIM00051,9.056747,0.53157096,0.43622983,-0.214615,SN II,0.5800,0.473493
SIM00052,32.908504,2.84220056,3.02081609,0.066174,SN II,0.5800,0.555442
SIM00053,35.507989,1.88734911,1.64944125,-0.146288,SN II,0.5800,0.276917
SIM00054,34.979488,3.62597042,4.46717815,0.226523,AGN flare,0.6700,0.912488
SIM00055,20.502929,3.23763694,3.42708089,0.061741,SN Ia,0.9100,0.692731
SIM00056,20.903215,2.91238890,3.95808444,0.333089,SN Ia,0.9100,0.699218
SIM00057,39.567561,3.54912031,3.87443148,0.095218,SN II,0.5800,0.943267
SIM00058,37.959990,1.01523539,1.02486252,0.010247,SN II,0.5800,0.072546
SIM00059,11.588105,0.84120243,1.05045592,0.241193,SN II,0.5800,0.897026
SIM00060,7.795651,1.12233248,0.89796172,-0.242159,SN II,0.5800,0.882833
SIM00061,43.571970,3.23514667,3.16649625,-0.023287,SN II,0.5800,0.487261
SIM00062,44.554344,2.60344051,2.60881733,0.002240,SN II,0.5800,0.515605
SIM00063,15.921110,1.09493624,1.31995175,0.202923,SN Ia,0.9100,0.019483
SIM00064,25.378211,1.26106099,1.17537003,-0.076404,SN II,0.5800,0.623927
SIM00065,23.539541,2.34613630,2.93702043,0.243884,SN Ia,0.9100,0.971696
SIM00066,5.610302,0.13270444,0.16525660,0.238183,SN II,0.5800,0.270446
SIM00067,6.700445,0.77347176,0.98485021,0.262314,SN II,0.5800,0.258609
SIM00068,7.572190,1.15799443,1.37835176,0.189134,SN II,0.5800,0.089462
SIM00069,3.531167,0.19132996,0.14362946,-0.311349,SN II,0.5800,0.938350
SIM00070,28.915338,2.27755872,2.95936880,0.284324,SN II,0.5800,0.066623
SIM00071,38.962099,2.49437839,2.71175070,0.090719,SN II,0.5800,0.926669
SIM00072,12.785829,0.94874489,0.82247199,-0.155071,SN Ia,0.9100,0.109451
SIM00073,8.103760,0.23641973,0.21712662,-0.092427,SN II,0.5800,0.305005
SIM00074,34.417923,2.50724304,2.06729690,-0.209484,SN II,0.5800,0.347001
SIM00075,1.799177,0.01343988,0.01630468,0.209792,SN II,0.5800,0.551049
SIM00076,9.336086,1.50011201,1.16168216,-0.277591,SN II,0.5800,0.818920
SIM00077,20.015814,3.87123001,3.77506964,-0.027310,SN Ia,0.9100,0.506686
SIM00078,31.260636,4.31182920,5.53035464,0.270229,AGN flare,0.6700,0.706725
SIM00079,28.982986,2.41871874,1.78518852,-0.329753,SN II,0.5800,0.129819
SIM00080,4.111804,0.20924410,0.17038173,-0.223075,SN II,0.5800,0.084485
SIM00081,38.015835,5.73030231,5.14210568,-0.117591,AGN flare,0.6700,0.242213
SIM00082,13.894574,1.04080152,1.05337151,0.013034,SN Ia,0.9100,0.263243
SIM00083,43.318607,5.24273562,4.56701277,-0.149814,AGN flare,0.6700,0.965667
SIM00084,14.620108,0.65958423,0.63790938,-0.036278,SN Ia,0.9100,0.474644
SIM00085,23.121616,1.98402025,1.39568954,-0.381893,SN II,0.5800,0.264169
SIM00086,4.949150,0.12919300,0.09246936,-0.363103,SN II,0.5800,0.304245
SIM00087,11.243621,1.56231836,1.91443124,0.220676,SN II,0.5800,0.657544
SIM00088,32.503711,4.24804861,3.94343943,-0.080786,AGN flare,0.6700,0.984729
SIM00089,7.576379,1.05727378,0.77249883,-0.340724,SN II,0.5800,0.835290
SIM00090,40.245464,4.78782708,6.07361356,0.258272,AGN flare,0.6700,0.139308
SIM00091,24.045321,4.42892351,5.59494536,0.253744,SN Ia,0.9100,0.826409
SIM00092,26.698707,5.88391060,6.97436572,0.184597,SN II,0.5800,0.229941
SIM00093,2.371063,0.03679586,0.02845944,-0.278931,kilonova,0.7200,0.835821
SIM00094,25.575199,4.29004190,5.04708382,0.176447,SN II,0.5800,0.489294
SIM00095,1.145830,0.03305136,0.03477267,0.055122,kilonova,0.7200,0.535200
SIM00096,30.009178,2.06633596,1.81121676,-0.143076,SN II,0.5800,0.074450
SIM00097,12.684562,1.34914029,1.64309100,0.214011,SN Ia,0.9100,0.975735
SIM00098,22.733746,2.55098283,3.00655671,0.178405,SN Ia,0.9100,0.766970
SIM00099,28.146857,1.91960639,1.54182315,-0.237944,SN II,0.5800,0.253940
SIM00100,33.701559,2.77957990,1.96996735,-0.373800,SN II,0.5800,0.060661
SIM00101,12.826002,2.46916406,2.89631798,0.173241,SN Ia,0.9100,0.290856
SIM00102,23.727571,2.86809420,2.24558010,-0.265662,SN II,0.5800,0.893663
SIM00103,9.767001,2.62555564,1.87006019,-0.368414,SN II,0.5800,0.458971
SIM00104,37.075498,4.85752429,4.31377335,-0.128894,AGN flare,0.6700,0.209837
SIM00105,42.605840,2.28250523,1.82422035,-0.243336,SN II,0.5800,0.524066
SIM00106,42.920575,2.45875636,2.59674435,0.059284,SN II,0.5800,0.886862
SIM00107,31.946830,3.37076420,3.50660080,0.042895,SN II,0.5800,0.024834
SIM00108,1.157981,0.01784769,0.01626577,-0.100768,kilonova,0.7200,0.140707
SIM00109,16.134246,2.45743048,1.72319686,-0.385366,SN II,0.5800,0.750734
SIM00110,37.920875,2.70962331,3.24915400,0.197153,SN II,0.5800,0.901567
SIM00111,13.752650,1.35165031,1.89116796,0.364664,SN Ia,0.9100,0.589177
SIM00112,16.871210,1.57104144,1.15281083,-0.336074,SN II,0.5800,0.101710
SIM00113,37.725744,3.73068160,3.26258291,-0.145567,SN II,0.5800,0.265728
SIM00114,23.482371,1.65245257,2.26272922,0.341259,SN Ia,0.9100,0.884267
SIM00115,36.726340,5.74312500,7.80197505,0.332641,AGN flare,0.6700,0.549228
SIM00116,32.661194,1.97707834,2.00792531,0.016809,SN II,0.5800,0.752668
SIM00117,29.357591,1.14221106,1.54055024,0.324824,SN II,0.5800,0.127311
SIM00118,21.776100,1.82270871,2.21882478,0.213514,SN Ia,0.9100,0.976296
SIM00119,12.447438,1.43940765,1.56913455,0.093691,SN Ia,0.9100,0.394368
SIM00120,8.362629,0.32564556,0.43446717,0.313030,SN II,0.5800,0.497076
SIM00121,10.681111,3.00027991,3.04520103,0.016135,SN II,0.5800,0.139596
SIM00122,9.465912,0.42892562,0.32759882,-0.292599,SN II,0.5800,0.239127
SIM00123,12.367733,2.50508357,3.06812697,0.220128,SN Ia,0.9100,0.412782
SIM00124,19.210877,2.35175197,2.20298525,-0.070950,SN Ia,0.9100,0.062060
SIM00125,13.210719,1.49151077,1.56963167,0.055428,SN Ia,0.9100,0.629627
SIM00126,38.965899,1.56434738,1.36711064,-0.146324,SN II,0.5800,0.399757
SIM00127,20.617769,6.23592952,8.17545133,0.294026,SN Ia,0.9100,0.021811
SIM00128,2.418714,0.15148064,0.15622014,0.033450,kilonova,0.7200,0.587176
SIM00129,1.007862,0.01912602,0.02444137,0.266253,SN II,0.5800,0.855463
SIM00130,43.778609,1.16915799,0.94475550,-0.231384,SN II,0.5800,0.522366
SIM00131,31.011303,6.51798588,7.51617425,0.154709,AGN flare,0.6700,0.764801
SIM00132,21.122302,1.37728483,1.71831299,0.240196,SN Ia,0.9100,0.232577
SIM00133,41.476485,2.88561817,2.27841714,-0.256514,SN II,0.5800,0.251794
SIM00134,28.996808,2.21272827,1.65787855,-0.313438,SN II,0.5800,0.524437
SIM00135,26.647203,1.89601419,2.12494393,0.123765,SN II,0.5800,0.010462
SIM00136,14.266937,2.84209846,3.27183213,0.152880,SN Ia,0.9100,0.883774
SIM00137,21.913386,1.41264299,1.93875357,0.343725,SN Ia,0.9100,0.704654
SIM00138,14.525504,0.83732727,0.98145163,0.172434,SN Ia,0.9100,0.420016
SIM00139,12.319269,2.84615239,2.44413408,-0.165333,SN Ia,0.9100,0.034097
SIM00140,15.874269,2.42308037,2.03213027,-0.191041,SN Ia,0.9100,0.797064
SIM00141,33.521686,2.18438595,3.01205220,0.348833,SN II,0.5800,0.311716
SIM00142,37.080198,1.49225482,1.83894966,0.226817,SN II,0.5800,0.294933
SIM00143,42.884783,1.97526287,1.69147073,-0.168401,SN II,0.5800,0.417029
SIM00144,30.272947,2.97596022,2.90281702,-0.027019,SN II,0.5800,0.212949
SIM00145,43.861267,0.83096546,0.61665504,-0.323852,SN II,0.5800,0.393322
SIM00146,40.519366,6.04635446,8.45444127,0.363978,AGN flare,0.6700,0.931595
SIM00147,15.486681,2.02278311,2.47268226,0.218047,SN Ia,0.9100,0.031894
SIM00148,30.234914,2.43601658,2.27082602,-0.076241,SN II,0.5800,0.169261
SIM00149,1.126312,0.01096364,0.01500769,0.340898,SN II,0.5800,0.123708
SIM00150,43.427933,1.69968463,2.16727048,0.263862,SN II,0.5800,0.822008
SIM00151,20.027771,1.23576060,1.18744245,-0.043304,SN Ia,0.9100,0.919506
SIM00152,9.493152,1.29167447,0.93155232,-0.354865,SN II,0.5800,0.410802
SIM00153,36.720279,1.96537396,1.42371310,-0.350057,SN II,0.5800,0.062580
SIM00154,41.483376,2.95167359,3.92273362,0.308801,SN II,0.5800,0.339070
SIM00155,12.981845,2.98890594,2.64076036,-0.134458,SN Ia,0.9100,0.716636
SIM00156,14.925280,0.60248199,0.74042425,0.223841,SN Ia,0.9100,0.916460
SIM00157,28.895122,2.19613048,1.89681191,-0.159085,SN II,0.5800,0.475189
SIM00158,43.098217,4.23279393,3.70679638,-0.144071,AGN flare,0.6700,0.429938
SIM00159,22.712849,2.85508677,3.60254228,0.252474,SN Ia,0.9100,0.738488
SIM00160,37.201231,4.95733025,4.60763951,-0.079423,AGN flare,0.6700,0.319549
SIM00161,16.921771,1.56501552,1.31166807,-0.191737,SN Ia,0.9100,0.752886
SIM00162,11.881531,0.31319333,0.34038360,0.090390,SN II,0.5800,0.325758
SIM00163,44.131254,7.28137456,6.44710322,-0.132122,AGN flare,0.6700,0.084083
SIM00164,5.242593,0.45441783,0.46026808,0.013889,SN II,0.5800,0.234196
SIM00165,19.340988,3.73253401,4.56706864,0.219084,SN Ia,0.9100,0.846987
SIM00166,30.234710,2.58197448,2.33835874,-0.107602,SN II,0.5800,0.566884
SIM00167,17.410726,2.00128909,1.74752641,-0.147215,SN Ia,0.9100,0.245340
SIM00168,7.746177,1.18139217,1.09684766,-0.080619,SN II,0.5800,0.396070
SIM00169,44.667744,2.14060932,2.70981880,0.256007,SN II,0.5800,0.653327
SIM00170,44.602049,1.58834677,2.02255613,0.262388,SN II,0.5800,0.840556
SIM00171,41.232524,1.08621329,0.85099558,-0.264970,SN II,0.5800,0.189573
SIM00172,43.810468,5.25913647,5.05174702,-0.043682,AGN flare,0.6700,0.866127
SIM00173,20.761010,2.71616266,3.69939035,0.335436,SN Ia,0.9100,0.105780
SIM00174,27.230471,2.49440602,2.38988040,-0.046477,SN II,0.5800,0.141369
SIM00175,9.974963,0.89537852,1.03519185,0.157535,SN II,0.5800,0.203442
SIM00176,1.500713,0.03082821,0.02557513,-0.202826,kilonova,0.7200,0.312196
SIM00177,9.949942,1.61666374,1.20326626,-0.320645,SN II,0.5800,0.101388
SIM00178,18.393055,3.18568988,2.43325165,-0.292541,SN II,0.5800,0.163689
SIM00179,31.597859,2.22175407,2.03360934,-0.096071,SN II,0.5800,0.953189
SIM00180,14.743923,1.79565264,1.78041073,-0.009255,SN Ia,0.9100,0.864246
SIM00181,44.851296,1.66508696,2.01412613,0.206624,SN II,0.5800,0.203667
SIM00182,1.258570,0.03043282,0.03877927,0.263143,SN II,0.5800,0.406218
SIM00183,39.844870,1.84462771,1.31039412,-0.371267,SN II,0.5800,0.551548
SIM00184,29.189334,2.52993986,2.87283834,0.138002,SN II,0.5800,0.370844
SIM00185,23.196375,1.31169571,1.39670830,0.068182,SN Ia,0.9100,0.925500
SIM00186,5.786885,0.59001100,0.81233497,0.347188,SN II,0.5800,0.197342
SIM00187,6.572616,1.32692877,1.37723999,0.040405,SN II,0.5800,0.053375
SIM00188,41.751384,4.12117315,4.67439976,0.136762,AGN flare,0.6700,0.824556
SIM00189,8.052151,0.70784343,0.69590861,-0.018462,SN II,0.5800,0.846351
SIM00190,37.484259,1.35439250,1.32706345,-0.022132,SN II,0.5800,0.517893
SIM00191,17.877360,0.95484758,1.15290004,0.204644,SN Ia,0.9100,0.897295
SIM00192,2.808357,0.15464090,0.11237601,-0.346627,kilonova,0.7200,0.838204
SIM00193,6.180165,0.58514077,0.66643419,0.141242,SN II,0.5800,0.306214
SIM00194,19.483162,2.71873510,3.15696773,0.162258,SN Ia,0.9100,0.446789
SIM00195,20.287514,1.37429329,1.43290844,0.045348,SN Ia,0.9100,0.235251
SIM00196,34.596869,4.25112776,3.51014907,-0.207946,AGN flare,0.6700,0.473219
SIM00197,5.711347,0.21665582,0.16556821,-0.291984,SN II,0.5800,0.441967
SIM00198,23.447095,1.62012866,1.22735879,-0.301445,SN II,0.5800,0.733480
SIM00199,35.215988,1.57572052,1.65883481,0.055810,SN II,0.5800,0.377863
SIM00200,42.838191,2.55850741,3.57496896,0.363214,SN II,0.5800,0.732084
SIM00201,36.859536,3.30872776,3.45533410,0.047073,SN II,0.5800,0.956639
SIM00202,41.305814,2.59047063,3.50078386,0.326967,SN II,0.5800,0.065516
SIM00203,16.439486,1.76630052,2.34489830,0.307649,SN Ia,0.9100,0.274993
SIM00204,36.887573,1.90199507,2.55615864,0.320946,SN II,0.5800,0.208323
SIM00205,12.566177,1.27364701,0.92439153,-0.347983,SN II,0.5800,0.182096
SIM00206,8.094091,1.47799191,1.96098366,0.307005,SN II,0.5800,0.168742
SIM00207,35.534250,1.86191728,2.13268301,0.147415,SN II,0.5800,0.359779
SIM00208,39.409892,3.81265828,5.02422369,0.299603,AGN flare,0.6700,0.104609
SIM00209,44.690003,3.15915122,3.97537930,0.249520,SN II,0.5800,0.264754
SIM00210,44.581923,2.85019209,3.52069247,0.229385,SN II,0.5800,0.442282
SIM00211,8.777267,0.54255170,0.69114413,0.262819,SN II,0.5800,0.253653
SIM00212,29.126465,5.83302435,6.79307583,0.165432,SN II,0.5800,0.312649
SIM00213,1.078803,0.00424761,0.00480505,0.133883,kilonova,0.7200,0.432233
SIM00214,23.557831,2.56038251,2.19957789,-0.164914,SN Ia,0.9100,0.653108
SIM00215,1.980739,0.01845465,0.01429228,-0.277511,kilonova,0.7200,0.357152
SIM00216,10.867394,1.58168244,1.33324610,-0.185522,SN II,0.5800,0.623930
SIM00217,21.895680,2.54535357,2.21576028,-0.150563,SN Ia,0.9100,0.149313
SIM00218,5.215405,0.60700714,0.75724705,0.240109,SN II,0.5800,0.401953
SIM00219,12.626553,0.79003929,0.86401211,0.097178,SN Ia,0.9100,0.350333
SIM00220,29.406580,4.76210473,5.77865057,0.210069,SN II,0.5800,0.248497
SIM00221,40.754153,1.51833327,1.49433162,-0.017300,SN II,0.5800,0.237669
SIM00222,3.568684,0.09687373,0.10517058,0.089221,SN II,0.5800,0.940921
SIM00223,7.259728,0.47622938,0.50235711,0.057991,SN II,0.5800,0.641570
SIM00224,36.788755,1.55918826,1.41915182,-0.102174,SN II,0.5800,0.048491
SIM00225,40.131507,5.47185813,3.85462081,-0.380383,AGN flare,0.6700,0.844432
SIM00226,33.788248,4.15176628,4.22127128,0.018026,AGN flare,0.6700,0.225948
SIM00227,5.632394,0.12598841,0.11778168,-0.073132,SN II,0.5800,0.749654
SIM00228,31.584806,5.97200514,5.29233956,-0.131181,AGN flare,0.6700,0.553788
SIM00229,20.186320,3.87199757,3.42945680,-0.131774,SN Ia,0.9100,0.642003
SIM00230,43.466196,3.04116661,2.16123362,-0.370846,SN II,0.5800,0.260369
SIM00231,11.388809,2.76748690,3.38271569,0.217950,SN II,0.5800,0.326871
SIM00232,39.727251,1.77625822,2.37183382,0.313945,SN II,0.5800,0.630696
SIM00233,31.485090,6.35346884,6.53546435,0.030664,AGN flare,0.6700,0.839711
SIM00234,31.695201,4.44917932,5.37121090,0.204481,AGN flare,0.6700,0.570340
SIM00235,14.541037,1.47996835,1.11657936,-0.305907,SN II,0.5800,0.910790
SIM00236,7.362176,0.15426770,0.20830215,0.326047,SN II,0.5800,0.344864
SIM00237,7.241030,0.12830304,0.15201828,0.184147,SN II,0.5800,0.633878
SIM00238,31.668340,2.07076290,2.30544445,0.116561,SN II,0.5800,0.363406
SIM00239,36.972712,6.73578440,5.02599911,-0.317914,AGN flare,0.6700,0.867792
SIM00240,41.233986,2.60872665,2.20178196,-0.184136,SN II,0.5800,0.111970
SIM00241,2.514780,0.17255285,0.19738682,0.145990,kilonova,0.7200,0.825060
SIM00242,28.787606,1.29280084,0.99352168,-0.285886,SN II,0.5800,0.757364
SIM00243,10.019711,0.81196521,0.58026519,-0.364777,SN II,0.5800,0.256702
SIM00244,13.434102,1.87998715,1.73819802,-0.085139,SN Ia,0.9100,0.963999
SIM00245,23.164442,5.00038295,3.60871113,-0.354128,SN II,0.5800,0.412921
SIM00246,20.203782,3.03420245,3.62059735,0.191839,SN Ia,0.9100,0.537881
SIM00247,10.529267,0.90251314,1.14968244,0.262811,SN II,0.5800,0.170371
SIM00248,1.057159,0.01350318,0.01869523,0.353237,SN II,0.5800,0.004362
SIM00249,22.596212,4.07361264,3.37769068,-0.203400,SN II,0.5800,0.494582
SIM00250,16.276170,2.25395536,3.06697718,0.334413,SN Ia,0.9100,0.283730
SIM00251,10.447431,1.50963715,1.17290695,-0.274023,SN II,0.5800,0.636532
SIM00252,4.558834,0.46512450,0.58180247,0.243016,SN II,0.5800,0.627932
SIM00253,16.647151,1.78669922,2.36431264,0.304134,SN Ia,0.9100,0.086173
SIM00254,40.091747,0.90419267,0.79952043,-0.133579,SN II,0.5800,0.901216
SIM00255,23.052368,3.83695463,3.31322146,-0.159340,SN Ia,0.9100,0.460908
SIM00256,24.387962,5.38506982,6.20580787,0.154017,SN Ia,0.9100,0.348485
SIM00257,15.373049,1.75010507,2.03619496,0.164388,SN Ia,0.9100,0.741987
SIM00258,8.460223,1.05967057,1.17137981,0.108817,SN II,0.5800,0.126057
SIM00259,21.328791,2.92642477,2.44093575,-0.196953,SN Ia,0.9100,0.301508
SIM00260,31.939311,2.78455981,2.25323796,-0.229874,SN II,0.5800,0.247581
SIM00261,15.368753,1.28682397,1.19629918,-0.079198,SN Ia,0.9100,0.189273
SIM00262,43.906521,2.09713704,2.88077423,0.344706,SN II,0.5800,0.101638
SIM00263,17.906247,5.36562383,6.51013725,0.209925,SN Ia,0.9100,0.434923
SIM00264,9.632401,0.65910384,0.55662029,-0.183487,SN II,0.5800,0.388341
SIM00265,2.492991,0.10325991,0.12240508,0.184669,SN II,0.5800,0.500487
SIM00266,28.824620,1.82020778,2.04335824,0.125559,SN II,0.5800,0.404713
SIM00267,33.601615,4.58443427,5.05105918,0.105242,AGN flare,0.6700,0.749100
SIM00268,19.530811,2.32419975,3.05877254,0.298184,SN Ia,0.9100,0.774048
SIM00269,31.803455,5.82386125,6.69206603,0.150873,AGN flare,0.6700,0.453903
SIM00270,14.772628,1.20123542,1.19367518,-0.006855,SN Ia,0.9100,0.782378
SIM00271,32.378621,2.72333067,2.71381506,-0.003800,SN II,0.5800,0.455194
SIM00272,28.349026,3.59112754,4.85210948,0.326749,SN II,0.5800,0.183062
SIM00273,29.797547,3.87733672,4.04362838,0.045594,SN II,0.5800,0.974620
SIM00274,2.678403,0.06251579,0.07797308,0.239887,SN II,0.5800,0.940588
SIM00275,23.845679,1.77728037,1.91719628,0.082277,SN Ia,0.9100,0.717296
SIM00276,23.536411,5.05887020,5.38861641,0.068559,SN Ia,0.9100,0.410349
SIM00277,42.710795,2.53419209,2.47019135,-0.027772,SN II,0.5800,0.762702
SIM00278,6.385364,0.68410326,0.50598522,-0.327460,SN II,0.5800,0.274357
SIM00279,18.586104,0.97616269,0.97067953,-0.006116,SN Ia,0.9100,0.698253
SIM00280,16.493500,1.10380928,1.34557601,0.215035,SN Ia,0.9100,0.939931
SIM00281,24.191364,2.84468802,2.77178984,-0.028186,SN Ia,0.9100,0.212013
SIM00282,6.689164,1.04008342,1.18986470,0.146074,SN II,0.5800,0.469159
SIM00283,25.730372,3.38293212,3.20428692,-0.058905,SN II,0.5800,0.638796
SIM00284,37.024523,4.39394298,3.98108645,-0.107132,AGN flare,0.6700,0.548268
SIM00285,6.507307,0.62637917,0.81145463,0.281067,SN II,0.5800,0.267424
SIM00286,17.550534,1.57650547,1.30869315,-0.202144,SN II,0.5800,0.002695
SIM00287,32.758734,1.72212883,1.56933156,-0.100877,SN II,0.5800,0.479550
SIM00288,19.853704,3.82900192,3.65172723,-0.051468,SN Ia,0.9100,0.928726
SIM00289,38.595600,2.14155856,2.85697653,0.312942,SN II,0.5800,0.784038
SIM00290,7.177675,1.04724313,0.74405587,-0.371105,SN II,0.5800,0.011479
SIM00291,42.877817,2.64095286,2.03632877,-0.282282,SN II,0.5800,0.142733
SIM00292,11.280223,1.49428974,1.20569806,-0.232991,SN II,0.5800,0.904087
SIM00293,35.833671,2.94541337,3.31611427,0.128708,SN II,0.5800,0.781281
SIM00294,30.412149,6.66155576,8.57450219,0.274083,AGN flare,0.6700,0.197371
SIM00295,31.482879,4.50473708,4.53631671,0.007585,AGN flare,0.6700,0.882682
SIM00296,25.422807,1.57451354,1.25573247,-0.245623,SN II,0.5800,0.493077
SIM00297,3.571997,0.09652641,0.10076976,0.046710,SN II,0.5800,0.498176
SIM00298,24.739879,1.86542721,2.40367247,0.275242,SN Ia,0.9100,0.467960
SIM00299,25.753035,5.46773872,5.26253730,-0.041531,SN II,0.5800,0.418817
SIM00300,43.266996,1.80927383,2.07214013,0.147287,SN II,0.5800,0.028530
SIM00301,27.825715,6.13577185,5.71436121,-0.077254,SN II,0.5800,0.981713
SIM00302,23.467526,4.49862572,3.25578094,-0.351062,SN II,0.5800,0.718184
SIM00303,28.512226,3.85397924,3.68560209,-0.048502,SN II,0.5800,0.474534
SIM00304,24.123655,2.72238749,2.73499942,0.005018,SN Ia,0.9100,0.422389
SIM00305,25.377215,3.36890420,4.31022270,0.267528,SN II,0.5800,0.403730
SIM00306,23.164964,2.25356235,3.11554293,0.351660,SN Ia,0.9100,0.654559
SIM00307,35.845850,2.07319278,1.88547278,-0.103049,SN II,0.5800,0.586451
SIM00308,28.932119,2.00787622,2.42124488,0.203254,SN II,0.5800,0.885601
SIM00309,24.997649,1.11866675,0.78793010,-0.380533,SN II,0.5800,0.189941
SIM00310,41.542975,4.31889183,5.40862983,0.244287,AGN flare,0.6700,0.909822
SIM00311,27.916564,4.35892324,5.17614487,0.186568,SN II,0.5800,0.596308
SIM00312,30.963087,2.64581475,2.70009504,0.022049,SN II,0.5800,0.762675
SIM00313,5.459912,0.10766193,0.13373489,0.235456,SN II,0.5800,0.914083
SIM00314,29.851567,3.92230771,4.90515187,0.242777,SN II,0.5800,0.562101
SIM00315,12.352119,1.08851956,1.00463167,-0.087073,SN Ia,0.9100,0.430675
SIM00316,29.237654,2.36935761,2.59978988,0.100769,SN II,0.5800,0.039379
SIM00317,6.229265,0.74864577,1.00546179,0.320223,SN II,0.5800,0.446472
SIM00318,1.621740,0.03585384,0.04863228,0.330972,SN II,0.5800,0.980785
SIM00319,21.919730,1.39132506,1.60162952,0.152834,SN Ia,0.9100,0.212277
SIM00320,7.677626,0.12361442,0.14569600,0.178446,SN II,0.5800,0.121671
SIM00321,43.519332,2.30794232,1.82391590,-0.255550,SN II,0.5800,0.017777
